tissue,subTissues
174,Heart,Heart_endothelialcell
175,Heart,Heart_endothelialcell
176,Heart,Heart_endothelialcell
177,Heart,Heart_endothelialcell
178,Heart,Heart_endothelialcell
179,Heart,Heart_endothelialcell
180,Heart,Heart_endothelialcell
181,Heart,Heart_endothelialcell
182,Heart,Heart_endothelialcell
183,Heart,Heart_endothelialcell
184,Heart,Heart_endothelialcell
185,Heart,Heart_endothelialcell
186,Heart,Heart_endothelialcell
187,Heart,Heart_endothelialcell
188,Heart,Heart_endothelialcell
189,Heart,Heart_endothelialcell
190,Heart,Heart_endothelialcell
191,Heart,Heart_endothelialcell
192,Heart,Heart_endothelialcell
193,Heart,Heart_endothelialcell
194,Heart,Heart_endothelialcell
195,Heart,Heart_endothelialcell
196,Heart,Heart_endothelialcell
197,Heart,Heart_endothelialcell
198,Heart,Heart_endothelialcell
199,Heart,Heart_endothelialcell
200,Heart,Heart_endothelialcell
201,Heart,Heart_endothelialcell
202,Heart,Heart_endothelialcell
203,Heart,Heart_endothelialcell
204,Heart,Heart_endothelialcell
205,Heart,Heart_endothelialcell
206,Heart,Heart_endothelialcell
207,Heart,Heart_endothelialcell
208,Heart,Heart_endothelialcell
209,Heart,Heart_endothelialcell
210,Heart,Heart_endothelialcell
211,Heart,Heart_endothelialcell
212,Heart,Heart_endothelialcell
213,Heart,Heart_endothelialcell
214,Heart,Heart_endothelialcell
215,Heart,Heart_endothelialcell
216,Heart,Heart_endothelialcell
217,Heart,Heart_endothelialcell
218,Heart,Heart_endothelialcell
219,Heart,Heart_endothelialcell
220,Heart,Heart_endothelialcell
221,Heart,Heart_endothelialcell
222,Heart,Heart_endothelialcell
223,Heart,Heart_endothelialcell
224,Heart,Heart_endothelialcell
225,Heart,Heart_endothelialcell
226,Heart,Heart_endothelialcell
227,Heart,Heart_endothelialcell
228,Heart,Heart_endothelialcell
229,Heart,Heart_endothelialcell
230,Heart,Heart_endothelialcell
231,Heart,Heart_endothelialcell
232,Heart,Heart_endothelialcell
233,Heart,Heart_endothelialcell
234,Heart,Heart_endothelialcell
235,Heart,Heart_endothelialcell
236,Heart,Heart_endothelialcell
237,Heart,Heart_endothelialcell
238,Heart,Heart_endothelialcell
239,Heart,Heart_endothelialcell
240,Heart,Heart_endothelialcell
241,Heart,Heart_endothelialcell
242,Heart,Heart_endothelialcell
243,Heart,Heart_endothelialcell
244,Heart,Heart_endothelialcell
245,Heart,Heart_endothelialcell
246,Heart,Heart_endothelialcell
247,Heart,Heart_endothelialcell
248,Heart,Heart_endothelialcell
249,Heart,Heart_endothelialcell
250,Heart,Heart_endothelialcell
251,Heart,Heart_endothelialcell
252,Heart,Heart_endothelialcell
253,Heart,Heart_endothelialcell
254,Heart,Heart_endothelialcell
255,Heart,Heart_endothelialcell
256,Heart,Heart_endothelialcell
257,Heart,Heart_endothelialcell
258,Heart,Heart_endothelialcell
259,Heart,Heart_endothelialcell
260,Heart,Heart_endothelialcell
261,Heart,Heart_endothelialcell
262,Heart,Heart_endothelialcell
263,Heart,Heart_endothelialcell
264,Heart,Heart_endothelialcell
265,Heart,Heart_endothelialcell
266,Heart,Heart_endothelialcell
267,Heart,Heart_endothelialcell
268,Heart,Heart_endothelialcell
269,Heart,Heart_endothelialcell
270,Heart,Heart_endothelialcell
271,Heart,Heart_endothelialcell
272,Heart,Heart_endothelialcell
273,Heart,Heart_endothelialcell
274,Heart,Heart_endothelialcell
275,Heart,Heart_endothelialcell
276,Heart,Heart_endothelialcell
277,Heart,Heart_endothelialcell
278,Heart,Heart_endothelialcell
279,Heart,Heart_endothelialcell
280,Heart,Heart_endothelialcell
281,Heart,Heart_endothelialcell
282,Heart,Heart_endothelialcell
283,Heart,Heart_endothelialcell
284,Heart,Heart_endothelialcell
285,Heart,Heart_endothelialcell
286,Heart,Heart_endothelialcell
287,Heart,Heart_endothelialcell
288,Heart,Heart_endothelialcell
289,Heart,Heart_endothelialcell
290,Heart,Heart_endothelialcell
291,Heart,Heart_endothelialcell
292,Heart,Heart_endothelialcell
293,Heart,Heart_endothelialcell
294,Heart,Heart_endothelialcell
295,Heart,Heart_endothelialcell
296,Heart,Heart_endothelialcell
297,Heart,Heart_endothelialcell
298,Heart,Heart_endothelialcell
299,Heart,Heart_endothelialcell
300,Heart,Heart_endothelialcell
301,Heart,Heart_endothelialcell
302,Heart,Heart_endothelialcell
303,Heart,Heart_endothelialcell
304,Heart,Heart_endothelialcell
305,Heart,Heart_endothelialcell
306,Heart,Heart_endothelialcell
307,Heart,Heart_endothelialcell
308,Heart,Heart_endothelialcell
309,Heart,Heart_endothelialcell
310,Heart,Heart_endothelialcell
311,Heart,Heart_endothelialcell
312,Heart,Heart_endothelialcell
313,Heart,Heart_endothelialcell
314,Heart,Heart_endothelialcell
315,Heart,Heart_endothelialcell
316,Heart,Heart_endothelialcell
317,Heart,Heart_endothelialcell
318,Heart,Heart_endothelialcell
319,Heart,Heart_endothelialcell
320,Heart,Heart_endothelialcell
321,Heart,Heart_endothelialcell
322,Heart,Heart_endothelialcell
323,Heart,Heart_endothelialcell
324,Heart,Heart_endothelialcell
325,Heart,Heart_endothelialcell
326,Heart,Heart_endothelialcell
327,Heart,Heart_erythrocyte
328,Heart,Heart_erythrocyte
329,Heart,Heart_erythrocyte
330,Heart,Heart_erythrocyte
331,Heart,Heart_erythrocyte
332,Heart,Heart_erythrocyte
333,Heart,Heart_erythrocyte
334,Heart,Heart_erythrocyte
335,Heart,Heart_erythrocyte
336,Heart,Heart_erythrocyte
337,Heart,Heart_erythrocyte
338,Heart,Heart_erythrocyte
339,Heart,Heart_erythrocyte
340,Heart,Heart_erythrocyte
341,Heart,Heart_erythrocyte
342,Heart,Heart_erythrocyte
343,Heart,Heart_erythrocyte
344,Heart,Heart_erythrocyte
345,Heart,Heart_erythrocyte
346,Heart,Heart_erythrocyte
347,Heart,Heart_erythrocyte
348,Heart,Heart_erythrocyte
349,Heart,Heart_erythrocyte
350,Heart,Heart_erythrocyte
351,Heart,Heart_erythrocyte
352,Heart,Heart_erythrocyte
353,Heart,Heart_erythrocyte
354,Heart,Heart_erythrocyte
355,Heart,Heart_erythrocyte
356,Heart,Heart_erythrocyte
357,Heart,Heart_erythrocyte
358,Heart,Heart_erythrocyte
359,Heart,Heart_erythrocyte
360,Heart,Heart_erythrocyte
361,Heart,Heart_erythrocyte
362,Heart,Heart_erythrocyte
363,Heart,Heart_erythrocyte
364,Heart,Heart_erythrocyte
365,Heart,Heart_erythrocyte
366,Heart,Heart_erythrocyte
367,Heart,Heart_erythrocyte
368,Heart,Heart_erythrocyte
369,Heart,Heart_erythrocyte
370,Heart,Heart_erythrocyte
371,Heart,Heart_erythrocyte
372,Heart,Heart_erythrocyte
373,Heart,Heart_erythrocyte
374,Heart,Heart_erythrocyte
375,Heart,Heart_erythrocyte
376,Heart,Heart_erythrocyte
